sub	ses	task	run	n_volumes	mean_fd_p	median_fd_p	max_fd_p	prop_fd_p_over_thresh	n_fd_p_over_thresh	mean_dvars	site	avg_en	exclude_euler	exclude_mriqc	exclude	exclude_reason
sub-ADNI019S6668	ses-M000	task-rest		197	0.1201802800790596	0.1036932687207568	0.3867575478009385	0.0	0	1.3810838775510206	19	-20.0	0	0	0	
sub-ADNI019S6668	ses-M024	task-rest		197	0.1505903218863267	0.12130828064298	0.6232410149824748	0.0	0	1.3036869030612244	19	-18.0	0	0	0	
sub-ADNI019S6712	ses-M000	task-rest		197	0.1021575880947929	0.0907741776276851	0.3693384808833924	0.0	0	1.1268448520408163	19	-18.0	0	0	0	
sub-ADNI019S6757	ses-M000	task-rest		197	0.0981649991364117	0.0843003108485034	0.4646533358630258	0.0	0	1.4466871683673468	19	-6.0	0	0	0	
sub-ADNI019S6757	ses-M012	task-rest		197	0.0635474723192423	0.0550148422088988	0.4596804661962104	0.0	0	1.185059255102041	19	-8.0	0	0	0	
sub-ADNI019S6757	ses-M024	task-rest		197	0.1204995718687657	0.104659153473212	0.5188061848292999	0.0	0	1.4648277346938774	19	-4.0	0	0	0	
sub-ADNI019S6757	ses-M036	task-rest		197	0.0914254296597688	0.0784647154486433	0.3781513814978466	0.0	0	1.6880357091836735	19	-9.0	0	0	0	
sub-ADNI019S7016	ses-M000	task-rest		197	0.0770317336694713	0.0615802352614107	0.3924895359270818	0.0	0	1.490499443877551	19	-2.0	0	0	0	
sub-ADNI019S7016	ses-M012	task-rest		197	0.1554497194348438	0.1201168108080957	0.6496219053268262	0.0	0	1.264636607142857	19	-11.0	0	0	0	
sub-ADNI020S5203	ses-M054	task-rest		197	0.0565675138463243	0.0520033738936056	0.1681431111181937	0.0	0	1.1273502806122448	20	-13.0	0	0	0	
sub-ADNI020S5203	ses-M066	task-rest		197	0.0891364965251453	0.0721471059452372	0.5454822071930047	0.0	0	1.108239357142857	20	-13.0	0	0	0	
